"tourney_date","match_num","surface","player1_name","player2_name","match_outcome","player1_hand","player2_hand","rank_diff","elo_diff","ht_diff","age_diff","set1_diff","set2_diff","set3_diff","set1_outcome","set2_outcome","set3_outcome"
20000522,8,"Clay","Fernando Vicente","Andrei Pavel","LL","R","R",-13,-10,-3,-3.1,-2,-2,0,"0","0","0"
20000522,9,"Clay","Sjeng Schalken","Hernan Gumy","WW","R","R",-53,10,5,-4.5,3,2,0,"1","1","0"
20000522,15,"Clay","Alberto Berasategui","Sergi Bruguera","LWL","R","R",-131,-10,-15,-2.5,-3,4,-3,"0","1","0"
20000522,16,"Clay","Mark Philippoussis","Jeff Tarango","WLL","R","L",-39,10,16,-8,5,-2,-3,"1","0","0"
20000522,18,"Clay","Galo Blanco","Markus Hantschk","WW","R","R",-24,10,-15,1.1,2,4,0,"1","1","0"
20000522,20,"Clay","Andrei Pavel","Jan Michael Gambill","WW","R","R",-24,-0.287743683320059,-7,3.4,3,2,0,"1","1","0"
20000522,21,"Clay","Sjeng Schalken","Juan Antonio Marin","WLL","R","R",-38,9.71225631667994,18,-1.5,2,-3,-2,"1","0","0"
20000522,24,"Clay","Jeff Tarango","Sergi Bruguera","WW","L","R",-149,-9.42451263335988,-8,2.2,2,5,0,"1","1","0"
20000522,25,"Clay","Galo Blanco","Albert Portas","WLL","R","R",-1,-0.287743683320059,-15,-2.9,1,-3,-2,"1","0","0"
20000522,26,"Clay","Andrei Medvedev","Andrei Pavel","LWL","R","R",-22,0.279461756265846,10,-0.600000000000001,-2,4,-4,"0","1","0"
20000522,27,"Clay","Juan Antonio Marin","Markus Hipfl","WW","R","R",-38,0.279468416199961,-3,3.2,3,2,0,"1","1","0"
20000522,28,"Clay","Andrew Ilie","Jeff Tarango","WW","R","L",-12,9.4410635506772,0,-7.5,2,3,0,"1","1","0"
20000522,29,"Clay","Andrei Pavel","Albert Portas","LWW","R","R",-28,-0.26313627502077,-5,-0.199999999999999,-4,3,4,"0","1","1"
20000522,30,"Clay","Andrew Ilie","Juan Antonio Marin","WW","R","R",-25,-0.543093459050624,5,-1.2,5,1,0,"1","1","0"
20000522,31,"Clay","Andrei Pavel","Andrew Ilie","WLW","R","R",-9,-0.00780721754495062,3,2.3,2,-3,4,"1","0","1"
20000501,1,"Clay","Thomas Enqvist","Andrei Pavel","LWW","R","R",-74,-49.7363801770646,7,-0.0999999999999979,-3,2,4,"0","1","1"
20000501,2,"Clay","Ivan Ljubicic","Andy Fahlke","WW","R","R",-99,-10,8,0.200000000000003,3,2,0,"1","1","0"
20000501,8,"Clay","Andrei Medvedev","Jonas Bjorkman","LWL","R","R",-54,19.9919564458091,10,-2.5,-6,4,-2,"0","1","0"
20000501,9,"Clay","Fernando Meligeni","Marc Rosset","WLW","L","R",-5,-10,-21,-0.399999999999999,3,-2,3,"1","0","1"
20000501,10,"Clay","Goran Ivanisevic","Gaston Etlis","LL","L","R",-75,-10,8,3.2,-1,-5,0,"0","0","0"
20000501,11,"Clay","Daniel Vacek","Hernan Gumy","LL","R","R",-41,9.71225631667994,2,0.899999999999999,-6,-2,0,"0","0","0"
20000501,15,"Clay","Arnaud Clement","Richard Fromberg","LL","R","R",-8,10,-23,-7.7,-2,-5,0,"0","0","0"
20000501,17,"Clay","Thomas Enqvist","Ivan Ljubicic","WLW","R","R",-77,11.1340852702797,-3,5,4,-1,1,"1","0","1"
20000501,20,"Clay","Jonas Bjorkman","Federico Browne","LL","R","R",-56,-9.4252194690946,3,4.1,-2,-1,0,"0","0","0"
20000501,21,"Clay","Fernando Meligeni","Gaston Etlis","WLW","L","R",-99,0.575487366640118,-5,3.6,2,-3,2,"1","0","1"
20000501,22,"Clay","Max Mirnyi","Hernan Gumy","WW","R","R",-22,9.43278790047998,8,-5.3,3,6,0,"1","1","0"
20000501,25,"Clay","Thomas Enqvist","Jiri Novak","WW","R","R",-33,1.10147387720644,0,1,3,2,0,"1","1","0"
20000501,26,"Clay","Tommy Haas","Federico Browne","WW","R","R",-117,0.27121309540712,8,-2,3,2,0,"1","1","0"
20000501,27,"Clay","Fernando Meligeni","Max Mirnyi","LL","L","R",-29,0.542610612583985,-16,6.2,-2,-3,0,"0","0","0"
20000501,28,"Clay","Younes El Aynaoui","Franco Squillari","WLL","R","L",-36,10,10,4,4,-4,-1,"1","0","0"
20000501,29,"Clay","Thomas Enqvist","Tommy Haas","LWL","R","R",-10,1.07757715559023,2,4.1,-1,5,-2,"0","1","0"
20000501,30,"Clay","Franco Squillari","Max Mirnyi","WW","L","R",-13,-19.4564431208191,-13,1.8,4,2,0,"1","1","0"
20000501,31,"Clay","Tommy Haas","Franco Squillari","LL","R","L",-33,19.1760484512868,5,-2.6,-2,-2,0,"0","0","0"
20000612,1,"Grass","Magnus Gustafsson","Antony Dupuis","WLL","R","R",-28,10,0,6.2,2,-3,-2,"1","0","0"
20000612,3,"Grass","Marc Rosset","Ronald Agenor","LL","R","R",-63,-0.287743683320059,21,-6,-3,-2,0,"0","0","0"
20000612,7,"Grass","Jan Michael Gambill","Adrian Voinea","WW","R","R",-25,-0.00828192705421316,5,-2.8,3,3,0,"1","1","0"
20000612,9,"Grass","Fabrice Santoro","Paul Goldstein","WW","R","R",-47,10,0,3.7,1,5,0,"1","1","0"
20000612,10,"Grass","Mark Philippoussis","Wayne Arthurs","WW","R","L",-78,-10.2877436833201,6,-5.7,3,2,0,"1","1","0"
20000612,11,"Grass","Goran Ivanisevic","Laurence Tieleman","WW","L","R",-28,-19.7122563166799,13,1.2,2,2,0,"1","1","0"
20000612,14,"Grass","Byron Black","Stephane Huet","WW","R","L",-42,-10,-5,1.5,3,5,0,"1","1","0"
20000612,15,"Grass","Andrei Pavel","Raemon Sluiter","LWW","R","R",-102,38.3145512234648,-2,4.2,-1,3,2,"0","1","1"
20000612,16,"Grass","Sebastien Grosjean","George Bastl","WW","R","R",-38,10,-8,-3.1,5,6,0,"1","1","0"
20000612,19,"Grass","Sargis Sargsian","Bob Bryan","LWL","R","L",-124,-10,-13,4.9,-3,3,-2,"0","1","0"
20000612,20,"Grass","Max Mirnyi","Markus Hantschk","WW","R","R",-30,28.8970263299827,8,0.399999999999999,3,1,0,"1","1","0"
20000612,22,"Grass","Andrew Ilie","Andre Sa","WLL","R","R",-45,39.7437379750413,-5,1,2,-3,-1,"1","0","0"
20000612,25,"Grass","Andre Agassi","Antony Dupuis","WLW","R","R",-104,-10.2877436833201,-5,2.9,5,-2,3,"1","0","1"
20000612,26,"Grass","Gianluca Pozzi","Ronald Agenor","WLW","L","R",-21,0.00828192705421316,0,-0.600000000000001,3,-2,6,"1","0","1"
20000612,27,"Grass","Greg Rusedski","Jens Knippschild","WW","L","R",-94,30,3,1.4,1,1,0,"1","1","0"
20000612,28,"Grass","Marat Safin","Julien Boutter","WLW","R","R",-84,-10,3,-5.8,2,-2,3,"1","0","1"
20000612,29,"Grass","Cedric Pioline","Jan Michael Gambill","LWW","R","R",-56,-9.99195644596784,-2,7.9,-2,4,3,"0","1","1"
20000612,30,"Grass","Fabrice Santoro","Justin Gimelstob","WLL","R","R",-75,-0.287743683320059,-18,4.2,2,-2,-6,"1","0","0"
20000612,31,"Grass","Mark Philippoussis","Goran Ivanisevic","LL","R","L",-46,9.1537748485282,3,-5.2,-3,-3,0,"0","0","0"
20000612,32,"Grass","Lleyton Hewitt","David Wheaton","WW","R","R",-425,-10,-13,-11.8,2,2,0,"1","1","0"
20000612,33,"Grass","Thomas Enqvist","Karol Kucera","WLL","R","R",-29,11.0387559525554,2,0,3,-1,-3,"1","0","0"
20000612,34,"Grass","Andrei Pavel","Byron Black","WW","R","R",-38,46.9284748763414,8,-4.3,1,2,0,"1","1","0"
20000612,35,"Grass","Sebastien Grosjean","Davide Sanguinetti","LWL","R","R",-71,-0.287743683320059,-13,-5.7,-1,5,-1,"0","1","0"
20000612,36,"Grass","Daniel Nestor","Michael Hill","WW","L","R",-63,10,2,1.8,2,3,0,"1","1","0"
20000612,37,"Grass","Tim Henman","Bob Bryan","LL","R","L",-188,-9.71225631667994,-8,3.6,-1,-2,0,"0","0","0"
20000612,38,"Grass","Todd Martin","Max Mirnyi","LWL","R","R",-38,-18.3549592985544,2,7,-3,1,-3,"0","1","0"
20000612,39,"Grass","Andre Sa","Michael Llodra","LL","R","L",-85,-8.86104684577208,-5,3.1,-5,-3,0,"0","0","0"
20000612,40,"Grass","Pete Sampras","Arvind Parmar","LWW","R","R",-153,-10,-8,6.6,-1,2,3,"0","1","1"
20000612,41,"Grass","Andre Agassi","Gianluca Pozzi","WLL","R","L",-75,-9.70374307093971,0,-4.8,2,-1,0,"1","0","0"
20000612,42,"Grass","Marat Safin","Greg Rusedski","LWW","R","L",-12,-8.8509264762356,0,-6.4,-1,1,2,"0","1","1"
